INITCAP,ACTCAP,WL_CAP,TERM,num_gradute,num_admited,Crse,Subj,CRN
100,83,0,Summer,147,608,6035,CS,39081
150,115,0,Summer,116,632,6035,CS,39081
200,169,0,Summer,198,692,6035,CS,39081
300,286,0,Summer,100,533,6035,CS,39081
50,22,0,Summer,181,354,6035,CS,39081
100,111,11,Summer,185,250,6035,CS,39081
150,121,0,Summer,108,687,6035,CS,39081
200,160,0,Summer,198,419,6035,CS,39081
300,273,0,Summer,160,305,6035,CS,39081
50,41,0,Summer,112,569,6035,CS,39081
100,83,0,Summer,136,565,6035,CS,39081
150,132,0,Summer,146,415,6035,CS,39081
200,193,0,Summer,152,346,6035,CS,39081
300,263,0,Summer,135,507,6035,CS,39081
50,16,0,Summer,141,430,6035,CS,39081
100,116,16,Summer,166,534,6035,CS,39081
150,121,0,Summer,174,278,6035,CS,39081
200,214,14,Summer,175,357,6035,CS,39081
300,286,0,Summer,122,482,6035,CS,39081
50,21,0,Summer,176,302,6035,CS,39081
100,64,0,Summer,161,336,6035,CS,39081
150,127,0,Summer,198,462,6035,CS,39081
200,171,0,Summer,116,586,6035,CS,39081
300,289,0,Summer,154,421,6035,CS,39081
50,18,0,Summer,116,353,6035,CS,39081
100,71,0,Summer,145,332,6035,CS,39081
150,142,0,Summer,161,655,6035,CS,39081
200,190,0,Summer,109,444,6035,CS,39081
300,262,0,Summer,164,435,6035,CS,39081
50,64,14,Summer,106,376,6035,CS,39081
100,91,0,Summer,102,514,6035,CS,39081
150,148,0,Summer,198,292,6035,CS,39081
200,186,0,Summer,147,621,6035,CS,39081
300,293,0,Summer,122,594,6035,CS,39081
50,55,5,Summer,138,332,6035,CS,39081
100,112,12,Summer,186,621,6035,CS,39081
150,144,0,Summer,184,258,6035,CS,39081
200,187,0,Summer,103,642,6035,CS,39081
300,291,0,Summer,161,573,6035,CS,39081
50,33,0,Summer,192,672,6035,CS,39081
100,107,7,Summer,144,339,6035,CS,39081
150,150,0,Summer,105,612,6035,CS,39081
200,172,0,Summer,178,634,6035,CS,39081
300,283,0,Summer,133,658,6035,CS,39081
50,35,0,Summer,163,482,6035,CS,39081
100,70,0,Summer,139,400,6035,CS,39081
150,159,9,Summer,125,699,6035,CS,39081
200,181,0,Summer,124,373,6035,CS,39081
300,298,0,Summer,154,265,6035,CS,39081
50,58,8,Summer,154,485,6035,CS,39081
100,86,0,Summer,107,664,6035,CS,39081
150,135,0,Summer,150,623,6035,CS,39081
200,197,0,Summer,111,332,6035,CS,39081
300,305,5,Summer,138,266,6035,CS,39081
50,55,5,Summer,193,261,6035,CS,39081
100,76,0,Summer,153,489,6035,CS,39081
150,112,0,Summer,111,293,6035,CS,39081
200,195,0,Summer,125,265,6035,CS,39081
300,319,19,Summer,173,628,6035,CS,39081
50,57,7,Summer,174,502,6035,CS,39081
100,70,0,Summer,135,504,6035,CS,39081
150,138,0,Summer,196,616,6035,CS,39081
200,203,3,Summer,148,687,6035,CS,39081
300,289,0,Summer,184,676,6035,CS,39081
50,50,0,Summer,123,315,6035,CS,39081
100,109,9,Summer,149,266,6035,CS,39081
150,144,0,Summer,168,649,6035,CS,39081
200,213,13,Summer,187,478,6035,CS,39081
300,287,0,Summer,151,573,6035,CS,39081
50,12,0,Summer,113,632,6035,CS,39081
100,99,0,Summer,128,341,6035,CS,39081
150,129,0,Summer,171,261,6035,CS,39081
200,179,0,Summer,139,609,6035,CS,39081
300,316,16,Summer,110,508,6035,CS,39081
50,54,4,Summer,166,373,6035,CS,39081
100,100,0,Summer,129,492,6035,CS,39081
150,157,7,Summer,107,654,6035,CS,39081
200,179,0,Summer,196,409,6035,CS,39081
300,261,0,Summer,111,290,6035,CS,39081
50,19,0,Summer,162,605,6035,CS,39081
100,89,0,Summer,158,551,6035,CS,39081
150,112,0,Summer,193,260,6035,CS,39081
200,177,0,Summer,160,542,6035,CS,39081
300,278,0,Summer,161,305,6035,CS,39081
50,36,0,Summer,179,288,6035,CS,39081
100,96,0,Summer,111,283,6035,CS,39081
150,138,0,Summer,199,692,6035,CS,39081
200,211,11,Summer,165,425,6035,CS,39081
300,317,17,Summer,112,351,6035,CS,39081
50,15,0,Summer,148,685,6035,CS,39081
100,112,12,Summer,161,417,6035,CS,39081
150,141,0,Summer,171,536,6035,CS,39081
200,161,0,Summer,128,492,6035,CS,39081
300,309,9,Summer,158,370,6035,CS,39081
50,10,0,Summer,109,381,6035,CS,39081
100,80,0,Summer,116,509,6035,CS,39081
150,170,20,Summer,149,267,6035,CS,39081
200,166,0,Summer,182,698,6035,CS,39081
300,298,0,Summer,145,537,6035,CS,39081
50,37,0,Summer,184,490,6035,CS,39081
100,114,14,Summer,139,422,6035,CS,39081
150,163,13,Summer,104,319,6035,CS,39081
200,190,0,Summer,112,578,6035,CS,39081
300,267,0,Summer,162,525,6035,CS,39081
50,60,10,Summer,113,391,6035,CS,39081
100,116,16,Summer,119,258,6035,CS,39081
150,147,0,Summer,191,283,6035,CS,39081
200,169,0,Summer,115,501,6035,CS,39081
300,300,0,Summer,193,340,6035,CS,39081
50,65,15,Summer,127,638,6035,CS,39081
100,62,0,Summer,159,494,6035,CS,39081
150,136,0,Summer,144,422,6035,CS,39081
200,180,0,Summer,115,315,6035,CS,39081
300,312,12,Summer,157,384,6035,CS,39081
50,22,0,Summer,163,596,6035,CS,39081
100,64,0,Summer,162,270,6035,CS,39081
150,149,0,Summer,139,428,6035,CS,39081
200,220,20,Summer,187,656,6035,CS,39081
300,267,0,Summer,129,517,6035,CS,39081
50,10,0,Summer,117,276,6035,CS,39081
100,81,0,Summer,186,372,6035,CS,39081
150,134,0,Summer,110,578,6035,CS,39081
200,186,0,Summer,142,508,6035,CS,39081
300,269,0,Summer,105,311,6035,CS,39081
50,35,0,Summer,104,635,6035,CS,39081
100,77,0,Summer,117,350,6035,CS,39081
150,116,0,Summer,106,536,6035,CS,39081
200,170,0,Summer,122,512,6035,CS,39081
300,313,13,Summer,185,648,6035,CS,39081
50,12,0,Summer,151,637,6035,CS,39081
100,95,0,Summer,132,505,6035,CS,39081
150,146,0,Summer,147,526,6035,CS,39081
200,214,14,Summer,115,606,6035,CS,39081
300,308,8,Summer,164,569,6035,CS,39081
50,22,0,Summer,119,290,6035,CS,39081
100,99,0,Summer,118,628,6035,CS,39081
150,112,0,Summer,133,546,6035,CS,39081
200,219,19,Summer,135,492,6035,CS,39081
300,308,8,Summer,164,571,6035,CS,39081
50,61,11,Summer,184,656,6035,CS,39081
100,94,0,Summer,170,568,6035,CS,39081
150,150,0,Summer,111,298,6035,CS,39081
200,187,0,Summer,163,270,6035,CS,39081
300,274,0,Summer,198,581,6035,CS,39081
50,54,4,Summer,182,254,6035,CS,39081
100,73,0,Summer,104,634,6035,CS,39081
150,148,0,Summer,160,555,6035,CS,39081
200,174,0,Summer,187,393,6035,CS,39081
300,265,0,Summer,158,607,6035,CS,39081
50,36,0,Summer,158,446,6035,CS,39081
100,61,0,Summer,126,476,6035,CS,39081
150,137,0,Summer,155,498,6035,CS,39081
200,204,4,Summer,181,695,6035,CS,39081
300,303,3,Summer,144,543,6035,CS,39081
50,32,0,Summer,111,618,6035,CS,39081
100,90,0,Summer,192,257,6035,CS,39081
150,131,0,Summer,119,686,6035,CS,39081
200,172,0,Summer,108,467,6035,CS,39081
300,274,0,Summer,153,509,6035,CS,39081
50,60,10,Summer,118,685,6035,CS,39081
100,111,11,Summer,153,559,6035,CS,39081
150,168,18,Summer,176,648,6035,CS,39081
200,171,0,Summer,166,313,6035,CS,39081
300,318,18,Summer,107,460,6035,CS,39081
50,39,0,Summer,138,479,6035,CS,39081
100,77,0,Summer,146,339,6035,CS,39081
150,166,16,Summer,145,350,6035,CS,39081
200,172,0,Summer,108,614,6035,CS,39081
300,266,0,Summer,167,638,6035,CS,39081
50,26,0,Summer,134,607,6035,CS,39081
100,93,0,Summer,192,512,6035,CS,39081
150,170,20,Summer,121,549,6035,CS,39081
200,170,0,Summer,113,513,6035,CS,39081
300,310,10,Summer,135,515,6035,CS,39081
50,33,0,Summer,122,280,6035,CS,39081
100,61,0,Summer,115,650,6035,CS,39081
150,135,0,Summer,139,442,6035,CS,39081
200,160,0,Summer,110,671,6035,CS,39081
300,268,0,Summer,192,596,6035,CS,39081
50,48,0,Summer,182,505,6035,CS,39081
100,109,9,Summer,146,683,6035,CS,39081
150,153,3,Summer,169,448,6035,CS,39081
200,163,0,Summer,189,455,6035,CS,39081
300,319,19,Summer,156,400,6035,CS,39081
50,31,0,Summer,156,433,6035,CS,39081
100,72,0,Summer,168,450,6035,CS,39081
150,150,0,Summer,198,507,6035,CS,39081
200,203,3,Summer,199,311,6035,CS,39081
300,310,10,Summer,185,523,6035,CS,39081
50,17,0,Summer,110,573,6035,CS,39081
100,120,20,Summer,175,546,6035,CS,39081
150,141,0,Summer,146,271,6035,CS,39081
200,205,5,Summer,119,592,6035,CS,39081
300,281,0,Summer,117,445,6035,CS,39081
50,69,19,Summer,148,520,6035,CS,39081
100,66,0,Summer,168,312,6035,CS,39081
150,121,0,Summer,122,397,6035,CS,39081
200,219,19,Summer,198,634,6035,CS,39081
300,309,9,Summer,106,285,6035,CS,39081
50,32,0,Summer,196,620,6035,CS,39081
100,111,11,Summer,121,383,6035,CS,39081
150,133,0,Summer,174,472,6035,CS,39081
200,216,16,Summer,100,559,6035,CS,39081
300,305,5,Summer,130,602,6035,CS,39081
50,42,0,Summer,158,452,6035,CS,39081
100,83,0,Summer,147,307,6035,CS,39081
150,116,0,Summer,180,499,6035,CS,39081
200,195,0,Summer,118,428,6035,CS,39081
300,313,13,Summer,155,514,6035,CS,39081
50,15,0,Summer,133,463,6035,CS,39081
100,107,7,Summer,137,288,6035,CS,39081
150,115,0,Summer,171,490,6035,CS,39081
200,165,0,Summer,171,301,6035,CS,39081
300,270,0,Summer,103,672,6035,CS,39081
50,39,0,Summer,102,279,6035,CS,39081
100,86,0,Summer,136,325,6035,CS,39081
150,151,1,Summer,181,379,6035,CS,39081
200,178,0,Summer,132,250,6035,CS,39081
300,288,0,Summer,175,348,6035,CS,39081
50,45,0,Summer,136,485,6035,CS,39081
100,67,0,Summer,189,321,6035,CS,39081
150,134,0,Summer,154,573,6035,CS,39081
200,188,0,Summer,165,387,6035,CS,39081
300,301,1,Summer,148,414,6035,CS,39081
50,42,0,Summer,188,269,6035,CS,39081
100,100,0,Summer,122,434,6035,CS,39081
150,121,0,Summer,199,496,6035,CS,39081
200,183,0,Summer,182,558,6035,CS,39081
300,310,10,Summer,177,404,6035,CS,39081
50,25,0,Summer,120,381,6035,CS,39081
100,73,0,Summer,191,688,6035,CS,39081
150,138,0,Summer,199,458,6035,CS,39081
200,206,6,Summer,166,498,6035,CS,39081
300,307,7,Summer,190,642,6035,CS,39081
50,26,0,Summer,110,402,6035,CS,39081
100,78,0,Summer,149,683,6035,CS,39081
150,168,18,Summer,164,520,6035,CS,39081
200,183,0,Summer,165,343,6035,CS,39081
300,318,18,Summer,125,541,6035,CS,39081
50,54,4,Summer,118,617,6035,CS,39081
100,73,0,Summer,162,465,6035,CS,39081
150,125,0,Summer,152,561,6035,CS,39081
200,165,0,Summer,160,474,6035,CS,39081
300,290,0,Summer,178,516,6035,CS,39081
50,49,0,Summer,160,436,6035,CS,39081
100,107,7,Summer,118,284,6035,CS,39081
150,165,15,Summer,164,285,6035,CS,39081
200,181,0,Summer,188,561,6035,CS,39081
300,307,7,Summer,142,356,6035,CS,39081
50,10,0,Summer,154,549,6035,CS,39081
100,120,20,Summer,182,347,6035,CS,39081
150,163,13,Summer,109,456,6035,CS,39081
200,168,0,Summer,160,568,6035,CS,39081
300,278,0,Summer,175,522,6035,CS,39081
50,66,16,Summer,167,479,6035,CS,39081
100,106,6,Summer,172,484,6035,CS,39081
150,135,0,Summer,165,592,6035,CS,39081
200,194,0,Summer,186,398,6035,CS,39081
300,295,0,Summer,175,665,6035,CS,39081
50,42,0,Summer,144,664,6035,CS,39081
100,64,0,Summer,158,546,6035,CS,39081
150,120,0,Summer,145,566,6035,CS,39081
200,170,0,Summer,128,266,6035,CS,39081
300,305,5,Summer,144,592,6035,CS,39081
50,49,0,Summer,172,594,6035,CS,39081
100,104,4,Summer,186,650,6035,CS,39081
150,166,16,Summer,112,500,6035,CS,39081
200,197,0,Summer,119,689,6035,CS,39081
300,281,0,Summer,148,559,6035,CS,39081
50,14,0,Summer,126,411,6035,CS,39081
100,112,12,Summer,193,451,6035,CS,39081
150,136,0,Summer,171,352,6035,CS,39081
200,215,15,Summer,161,574,6035,CS,39081
300,262,0,Summer,108,411,6035,CS,39081
50,67,17,Summer,167,320,6035,CS,39081
100,107,7,Summer,170,391,6035,CS,39081
150,132,0,Summer,175,334,6035,CS,39081
200,187,0,Summer,170,373,6035,CS,39081
300,295,0,Summer,156,464,6035,CS,39081
50,66,16,Summer,152,671,6035,CS,39081
100,82,0,Summer,188,365,6035,CS,39081
150,151,1,Summer,182,551,6035,CS,39081
200,190,0,Summer,118,487,6035,CS,39081
300,312,12,Summer,197,459,6035,CS,39081
50,61,11,Summer,161,259,6035,CS,39081
100,114,14,Summer,141,449,6035,CS,39081
150,163,13,Summer,166,655,6035,CS,39081
200,166,0,Summer,165,477,6035,CS,39081
300,283,0,Summer,192,663,6035,CS,39081
50,16,0,Summer,109,566,6035,CS,39081
100,65,0,Summer,194,438,6035,CS,39081
150,154,4,Summer,187,612,6035,CS,39081
200,182,0,Summer,140,574,6035,CS,39081
300,297,0,Summer,192,285,6035,CS,39081
50,35,0,Summer,198,578,6035,CS,39081
100,85,0,Summer,112,613,6035,CS,39081
150,153,3,Summer,175,362,6035,CS,39081
200,180,0,Summer,194,362,6035,CS,39081
300,311,11,Summer,167,345,6035,CS,39081
50,31,0,Summer,142,433,6035,CS,39081
100,64,0,Summer,125,603,6035,CS,39081
150,170,20,Summer,147,425,6035,CS,39081
200,204,4,Summer,149,508,6035,CS,39081
300,273,0,Summer,196,540,6035,CS,39081
50,17,0,Summer,188,676,6035,CS,39081
100,118,18,Summer,146,675,6035,CS,39081
150,149,0,Summer,181,552,6035,CS,39081
200,201,1,Summer,133,310,6035,CS,39081
300,263,0,Summer,129,605,6035,CS,39081
50,50,0,Summer,144,693,6035,CS,39081
100,68,0,Summer,178,615,6035,CS,39081
150,159,9,Summer,187,396,6035,CS,39081
200,179,0,Summer,118,633,6035,CS,39081
300,320,20,Summer,100,668,6035,CS,39081
50,36,0,Summer,196,572,6035,CS,39081
100,89,0,Summer,184,315,6035,CS,39081
150,141,0,Summer,122,507,6035,CS,39081
200,206,6,Summer,108,544,6035,CS,39081
300,292,0,Summer,101,506,6035,CS,39081
50,60,10,Summer,128,354,6035,CS,39081
100,97,0,Summer,178,567,6035,CS,39081
150,129,0,Summer,172,260,6035,CS,39081
200,192,0,Summer,156,282,6035,CS,39081
300,284,0,Summer,162,524,6035,CS,39081
50,56,6,Summer,192,560,6035,CS,39081
100,99,0,Summer,188,332,6035,CS,39081
150,115,0,Summer,141,403,6035,CS,39081
200,214,14,Summer,108,488,6035,CS,39081
300,303,3,Summer,194,433,6035,CS,39081
50,18,0,Summer,125,599,6035,CS,39081
100,65,0,Summer,125,696,6035,CS,39081
150,141,0,Summer,193,475,6035,CS,39081
200,195,0,Summer,127,286,6035,CS,39081
300,262,0,Summer,108,390,6035,CS,39081
50,40,0,Summer,180,610,6035,CS,39081
100,109,9,Summer,116,367,6035,CS,39081
150,117,0,Summer,183,257,6035,CS,39081
200,178,0,Summer,122,486,6035,CS,39081
300,266,0,Summer,133,384,6035,CS,39081
50,61,11,Summer,135,546,6035,CS,39081
100,106,6,Summer,181,487,6035,CS,39081
150,119,0,Summer,106,399,6035,CS,39081
200,166,0,Summer,137,566,6035,CS,39081
300,311,11,Summer,112,612,6035,CS,39081
50,12,0,Summer,197,346,6035,CS,39081
100,81,0,Summer,194,383,6035,CS,39081
150,169,19,Summer,197,457,6035,CS,39081
200,208,8,Summer,131,264,6035,CS,39081
300,309,9,Summer,174,383,6035,CS,39081
50,53,3,Summer,160,603,6035,CS,39081
100,117,17,Summer,184,467,6035,CS,39081
150,118,0,Summer,182,486,6035,CS,39081
200,179,0,Summer,179,487,6035,CS,39081
300,272,0,Summer,143,312,6035,CS,39081
50,55,5,Summer,179,470,6035,CS,39081
100,101,1,Summer,104,382,6035,CS,39081
150,128,0,Summer,178,492,6035,CS,39081
200,190,0,Summer,148,454,6035,CS,39081
300,270,0,Summer,125,394,6035,CS,39081
50,13,0,Summer,144,517,6035,CS,39081
100,71,0,Summer,179,499,6035,CS,39081
150,161,11,Summer,120,321,6035,CS,39081
200,169,0,Summer,170,445,6035,CS,39081
300,288,0,Summer,162,284,6035,CS,39081
50,10,0,Summer,107,420,6035,CS,39081
100,112,12,Summer,191,604,6035,CS,39081
150,140,0,Summer,141,336,6035,CS,39081
200,162,0,Summer,144,686,6035,CS,39081
300,291,0,Summer,170,619,6035,CS,39081
50,46,0,Summer,127,577,6035,CS,39081
100,80,0,Summer,107,499,6035,CS,39081
150,122,0,Summer,124,618,6035,CS,39081
200,165,0,Summer,116,476,6035,CS,39081
300,263,0,Summer,179,409,6035,CS,39081
50,18,0,Summer,116,430,6035,CS,39081
100,82,0,Summer,194,285,6035,CS,39081
150,139,0,Summer,181,426,6035,CS,39081
200,188,0,Summer,176,319,6035,CS,39081
300,260,0,Summer,155,317,6035,CS,39081
50,11,0,Summer,189,326,6035,CS,39081
100,115,15,Summer,195,554,6035,CS,39081
150,112,0,Summer,138,491,6035,CS,39081
200,219,19,Summer,149,620,6035,CS,39081
300,299,0,Summer,108,638,6035,CS,39081
50,66,16,Summer,187,301,6035,CS,39081
100,94,0,Summer,172,659,6035,CS,39081
150,158,8,Summer,175,325,6035,CS,39081
200,199,0,Summer,143,391,6035,CS,39081
300,308,8,Summer,145,532,6035,CS,39081
50,22,0,Summer,196,356,6035,CS,39081
100,110,10,Summer,143,401,6035,CS,39081
150,165,15,Summer,195,360,6035,CS,39081
200,208,8,Summer,109,668,6035,CS,39081
300,280,0,Summer,173,316,6035,CS,39081
50,25,0,Summer,197,287,6035,CS,39081
100,64,0,Summer,127,463,6035,CS,39081
150,121,0,Summer,141,694,6035,CS,39081
200,177,0,Summer,146,450,6035,CS,39081
300,307,7,Summer,115,536,6035,CS,39081
50,62,12,Summer,174,267,6035,CS,39081
100,102,2,Summer,184,652,6035,CS,39081
150,169,19,Summer,115,486,6035,CS,39081
200,210,10,Summer,129,487,6035,CS,39081
